ResponseId	Gender	Duration	Tromp	SleepEfficiency.criteria	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Moral_SCA	Heure_TOT	Age_correct
53	1	1432	1	1	16	16	8	5.83333333333333	43.96	41	9.21666666666667	1
54	2	541	1	1	7	18	5.40476190476191	7.91666666666667	45.21	34	9.21666666666667	1
55	2	382	1	1	15	18	9.40476190476191	8.91666666666667	9.01	29	9.25	1
56	2	967	1	1	13	16	6.64285714285714	7.66666666666667	1.89	32	9.25	1
57	2	688	1	1	19	18	8.03571428571429	8.5	28.61	34	9.26666666666667	1
58	2	465	1	1	14	13	7.16666666666667	6.66666666666667	7.57	33	9.26666666666667	1
59	2	451	2	1	7	6	7.71428571428571	6.5	3.11	37	9.26666666666667	1
60	2	514	1	1	17	18	8.26190476190476	7.83333333333333	0.22	37	9.26666666666667	1
61	2	485	1	1	19	19	8.42857142857143	9	34.44	39	9.26666666666667	1
62	2	544	1	1	14	15	9.17857142857143	8.16666666666667	24.46	38	9.26666666666667	1
63	2	387	1	1	18	18	8.45238095238095	8.91666666666667	59.39	33	9.26666666666667	1
64	2	528	1	1	11	14	5.91071428571429	5.25	52.37	36	9.26666666666667	1
65	2	587	3	1	14	16	8.76190476190476	5.91666666666667	50	32	9.28333333333333	1
66	1	701	1	1	18	18	6.88095238095238	6.5	2.26	33	9.26666666666667	1
67	2	554	1	1	18	19	8.45	8	47.8	38	9.28333333333333	1
68	2	557	1	1	16	13	6.16666666666667	6.16666666666667	55.33	35	9.28333333333333	1
69	2	682	1	1	13	18	7.61309523809524	7.33333333333333	46.03	34	9.28333333333333	1
70	2	997	1	1	18	18	8.27380952380952	7.91666666666667	0	33	9.3	1
71	2	443	1	1	11	12	6.21428571428571	6.83333333333333	19.69	31	9.3	1
72	2	616	1	1	11	18	6.25	7.75	5.63	36	9.3	1
73	2	513	1	1	18	18	7.86904761904762	9.83333333333333	64.5	34	9.3	1
74	2	578	1	1	16	19	7.67857142857143	7.41666666666667	39.03	33	9.3	1
75	2	582	1	1	16	16	7.25	7	6.92	39	9.31666666666667	1
76	2	556	1	1	17	18	8.39285714285714	7.5	49.83	38	9.31666666666667	1
77	2	608	1	1	10	17	7.35714285714286	8.33333333333333	30.11	29	9.31666666666667	1
78	1	622	1	1	12	19	6.82142857142857	7.66666666666667	65.5	33	18.3166666666667	1
79	2	1078	1	1	16	18	7.79761904761905	8.16666666666667	30.34	35	9.31666666666667	1
80	2	579	1	1	15	17	6.69047619047619	7	0	34	9.31666666666667	1
