ResponseId	Gender	Tromp	Duration	SleepEfficiency.criteria	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Moral_SCA	Moral_CAR	Heure_TOT	Age_correct
78	1	0	439	1	10	7	8	8	84.1	31	0.857142857142857	14.1333333333333	1
79	1	0	688	1	7	8	8	6	100.47	33	1	23.8666666666667	1
80	1	0	184	0	13	6	8	8	91.86	30	0.857142857142857	13.3	1
81	1	0	660	1	6	10	10	10	82.95	31	0.714285714285714	14.6	1
82	2	0	330	1	18	8	8	8	34.13	34	1	14.6333333333333	1
83	2	0	272	1	12	3	7	6	36.28	31	1	11.7	1
84	2	0	1458	1	18	7	6	7	94.18	34	1	14.7	1
85	1	0	2277	1	18	4	7	8	84.21	36	0.928571428571429	13.7333333333333	1
86	2	0	610	1	12	7	8	6	63.67	32	0.928571428571429	11.7666666666667	1
87	1	0	609	1	13	6	8	6	64.78	37	1	13.85	1
88	1	0	1364	1	13	6	8	8	99.61	35	1	14.9833333333333	1
89	1	0	706	1	14	8	6	7	17.85	30	0.785714285714286	15.05	1
90	1	0	600	1	19	0	7	6	110	43	1	12.0666666666667	1
91	2	0	786	1	19	9	7	7	3.45	33	0.857142857142857	12.1333333333333	1
92	2	0	706	1	11	4	7	8	49.04	39	0.714285714285714	14.2166666666667	1
94	1	0	608	1	20	8	7	7	28.84	30	0.928571428571429	14.3666666666667	1
95	2	0	1346	1	11	3	6	6	31.05	36	0.857142857142857	1.38333333333333	1
96	1	0	237	1	14	6	8	7	63	34	0.714285714285714	14.3333333333333	1
97	1	0	261	1	15	6	6	6	48.31	35	1	14.45	1
98	1	0	805	1	11	6	6	6	65.52	35	0.857142857142857	12.45	1
99	1	0	310	1	20	10	8	8	68.23	36	1	12.6333333333333	1
100	1	0	364	0	10	5	8	7	61.95	34	0.928571428571429	12.7166666666667	1
101	1	1	670	1	16	7	7	7	44.44	34	0.5	14.7333333333333	1
103	2	0	1798	1	15	8	6	7	34.12	24	0.428571428571429	14.7833333333333	1
104	1	0	4641	1	13	7	7	7	65.34	37	0.857142857142857	15.5833333333333	1
105	1	0	582	1	16	7	8	8	67.29	32	0.714285714285714	16.1	1
106	1	0	400	1	17	9	7	7	75.07	34	1	16.2333333333333	1
107	1	0	1178	1	16	5	7	7	42.66	34	0.642857142857143	16.2666666666667	1
108	2	0	391	1	16	7	8	8	9.02	29	0.428571428571429	16.3166666666667	1
109	2	0	663	1	14	8	6	6	20	33	0.857142857142857	16.55	1
110	1	0	1783	1	14	8	7	8	65.81	39	0.857142857142857	15.5833333333333	1
111	1	0	1030	1	13	7	8	8	53.42	35	1	15.85	1
112	1	0	789	1	15	7	7	6	20	31	1	16.9333333333333	1
113	1	0	419	1	18	8	8	9	66.72	41	0.714285714285714	15.45	1
114			103						0	34			1
115			189						15.75	29			1
118	1	1	347	1	7	1	0	2	68.69	40	0.5		1
120	2	0	631	1	14	7	8	9	60.39	37	0.857142857142857	12.6666666666667	1
121			163						70.56				1
125	2	1	285	1	6	5	6	6	106.9	30	0.5	9.45	1
126			375						41.6	32			1
127	1	1	185	1	12	5	8	6	66.79	35	0.5	14.5166666666667	1
130		1	225						84.23	32			1
133	1	1	947	1	10	10	6	6	31.4	40	0.714285714285714	21	1
134			557						70.12				1
136	2	0	692	1	13	0	6	2	8.25	31	1	12.85	1
137	1	0	993	1	18	6	8	8	14.82	32	1	12.7833333333333	1
138	1	0	389	0	14	4	11	10	68.48	27	0.5	13.4833333333333	1
139	2	0	521	1	16	8	8	6	35.93	36	0.571428571428571	11.7666666666667	1
140	2	0	419	1	10	5	6	6	48.41	38	1	14.85	1
141	1	0	1030	1	19	9	6	6	52.9	39	0.785714285714286	16.15	1
142	1	0	366	1	18	7	8	8	27.74	25	0.5	18.9833333333333	1
