ResponseId	Gender	Duration	SleepEfficiency.criteria	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Moral_SCA	Heure_TOT	Age_correct
63	2	866	1	16	20	10.5714285714286	8.5	50	30	17.4166666666667	1
66	1	1003	1	12	17	9.55476190476191	9.46666666666667	40	40	17.9166666666667	1
67	1	1642	1	19	19	8.33333333333333	7.83333333333333	57.57	42	18.1	1
68	2	679	1	18	17	7.19047619047619	5.5	69.79	41	18.2833333333333	1
70	1	1578	1	16	18	8.8452380952381	9.5	100	35	18.5666666666667	1
71	1	5483	1	10	17	4.63095238095238	6	92.55	46	18.9166666666667	1
72	1	2735	1	18	17	7.10714285714286	6.75	89.45	43	19.0333333333333	1
73	1	1910	1	19	19	10	8	43.11	34	19.2833333333333	1
74	2	2714	1	15	18	9.52142857142857	8.75	48.57	39	19.5	1
75	1	839	1	13	17	8.60714285714286	11.5	47.68	27	19.5833333333333	1
76	1	1289	1	16	18	9.46428571428571	9.33333333333333	59.81	42	20.0833333333333	1
77	2	1036	1	17	18	9.82142857142857	7.5	35.87	43	20.3666666666667	1
78	1	810	1	17	17	6.5	7	56.58	33	20.4666666666667	1
79	2	752	1	16	19	9.02380952380952	8.41666666666667	45.96	34	20.8833333333333	1
80	2	1016	1	18	18	9.38333333333333	8.5	59.18	41	20.9166666666667	1
81	1	4503	1	19	17	7.64285714285714	7	12.53	41	21.2333333333333	1
82	2	1164	1	16	18	9.53571428571429	10.3333333333333	21.69	40	21.2666666666667	1
83	2	1084	1	18	17	7.97619047619048	11.5	11.23	39	21.2833333333333	1
84	1	20379	1	17	17	6	6	70	42	21.5666666666667	1
85	2	3003	1	17	18	9.04761904761905	9	48.34	40	22.55	1
86	2	1148	1	18	19	9.05952380952381	9.41666666666667	64.98	40	0.183333333333333	1
87	2	1274	1	16	19	7.98333333333333	7.21666666666667	58.91	39	9.15	1
89	2	1212	1	18	19	8.54761904761905	8.91666666666667	60	40	11.15	1
90	1	1057	1	17	14	8.83333333333333	8.75	72.07	44	11.2833333333333	1
91	2	1721	1	12	16	8.26190476190476	6.83333333333333	42.91	36	11.35	1
92	2	727	1	11	18	9.10714285714286	8.91666666666667	41.5	41	11.65	1
94	1	6963	1	18	18	9.0547619047619	7.5	3.87	34	13.5833333333333	1
95	1	929	1	19	18	8.21150793650794	8	1.46	44	17.3833333333333	1
96	1	1092	1	17	19	9.00238095238095	8.25	42.94	31	0.85	1
97	2	945	1	16	16	9.46666666666667	7	35.92	37	12.3666666666667	1
100	1	1253	1	16	17	6.42857142857143	8.5	36.44	30	8.81666666666667	1
101	2	772	1	16	18	8.02380952380952	7.75	70	34	11.4333333333333	1
102	2	1603	1	18	18	7.98809523809524	6.16666666666667	29.99	37	16.8	1
103	1	571	1	17	19	7.86904761904762	7.25	37.22	35	17.85	1
104		367						56.02	31		1
110		440						17.48			1
112		661						34.39	33		1
117		444						49.61			1
118		1281						57.58	31		1
130		160						55.49			1
142		326						1.47			1
149		211						7.07	33		1
150		1277		16		11.4880952380952		52.58	34		1
157		178						55.51			1
162		258556						86.01			1
163		1264		18		9.60714285714286		10.18	32		1
164		1183						28.26	41		1
167	2	836	1	18	19	8.19047619047619	8.91666666666667	35.52	33	23.5166666666667	1
168	2	1163	1	15	12	7.91666666666667	4.25	45.56	45	23.6	1
170	2	839	1	10	19	7.46428571428571	14	60.08	39	1.03333333333333	1
171	2	1986	1	12	18	10.5714285714286	11.5	59.65	40	1.05	1
173	2	1504	1	16	16	8.21428571428571	5	44.67	39	8.98333333333333	1
178		278						15.09	32		1
181	1	1123	1	12	18	7.86904761904762	7.41666666666667	27.63	39	19.2833333333333	1
185	2	838	1	18	18	7.96428571428571	7	10	25	13.7833333333333	1
187		1789						56.54			1
193	2	568226	1	15	18	9.64285714285714	9	17.69	39	21.6	1
